320,Dark Red,720E0F,154
100,Light Salmon,FEBABD,100
77,Light Pink,FECCCF,223
1087,Duplo Pink,FF879C,16
1069,Pearl Red,D60026,184
13,Pink,FC97AC,9
1102,Trans-Neon Red,FF0040,158
1050,Coral,FF698F,353
351,Medium Dark Pink,F785B1,22
114,Glitter Trans-Dark Pink,DF6695,114
45,Trans-Dark Pink,DF6695,113
1082,Clikits Pink,FE78B0,295
69,Light Purple,CD6298,198
29,Bright Pink,E4ADC8,222
230,Trans-Pink,E4ADC8,230
1099,Glitter Trans-Pink,E4ADC8,301
5,Dark Pink,C870A0,221
1054,Opal Trans-Dark Pink,CE1D9B,364
26,Magenta,923978,124
22,Purple,81007B,104
373,Sand Purple,845E84,136
1007,Reddish Lilac,8E5597,218
236,Trans-Light Purple,96709F,284
30,Medium Lavender,AC78BA,324
1059,Opal Trans-Purple,8320B7,365
31,Lavender,E1D5ED,325
1101,Duplo Dark Purple,5F27AA,197
1097,Glitter Trans-Medium Purple,8D73B3,303
1094,Trans-Medium Purple,8D73B3,236
85,Dark Purple,3F3691,268
1001,Medium Violet,9391E4,219
129,Glitter Trans-Purple,A5A5CB,129
52,Trans-Purple,A5A5CB,126
20,Light Violet,C9CAE2,39
1093,Light Lilac,9195CA,220
23,Dark Blue-Violet,2032B0,196
112,Medium Bluish Violet,6874CA,112
89,Royal Blue,4C61DB,195
1061,Opal Trans-Dark Blue,0020A0,366
33,Trans-Dark Blue,0020A0,43
110,Violet,4354A3,110
1073,Pearl Black,0A1327,149
379,Sand Blue,6074A1,135
137,Pearl Sand Blue,7988A1,145
1,Blue,0055BF,23
73,Medium Blue,5A93DB,102
272,Dark Blue,0A3463,140
1006,Trans-Light Royal Blue,B4D4F7,293
143,Trans-Medium Blue,CFE2F7,143
212,Bright Light Blue,9FC3E9,212
1070,Pearl Blue,0059A3,185
9,Light Blue,B4D2E3,45
43,Trans-Very Lt Blue,C1DFF0,229
321,Dark Azure,078BC9,321
232,Sky Blue,7DBFDD,232
1075,Duplo Medium Blue,3E95B6,269
1074,Duplo Blue,009ECE,188
1051,Pastel Blue,5AC4DA,11
322,Medium Azure,36AEBF,322
11,Light Turquoise,55A5AF,116
1003,Glitter Trans-Light Blue,68BCC5,302
1053,Opal Trans-Light Blue,68BCC5,362
3,Dark Turquoise,008F9B,107
41,Trans-Light Blue,AEEFEC,42
323,Light Aqua,ADC3C0,323
118,Aqua,B3D7D1,118
288,Dark Green,184632,141
74,Medium Green,73DCA1,29
1071,Pearl Green,008E3C,186
378,Sand Green,A0BCAC,151
1078,Duplo Medium Green,468A5F,210
2,Green,237841,28
1058,Trans-Light Green,94E5AB,285
1079,Duplo Light Green,60BA76,233
1098,Glitter Trans-Green,84B68D,155
34,Trans-Green,84B68D,48
1060,Opal Trans-Bright Green,84B68D,367
1077,Fabuland Lime,78FC78,14
10,Bright Green,4B9F4A,37
17,Light Green,C2DAB8,6
294,Glow In Dark Trans,BDC6AD,294
76,Speckle DBGray-Silver,6C6E68,304
1057,Trans-Light Bright Green,C9E788,227
1086,Pearl Lime,6A7944,200
1002,Glitter Trans-Neon Green,C0F500,339
1141,Neon Green,D2FC43,134
27,Lime,BBE90B,119
158,Yellowish Green,DFEEA5,326
1096,Glitter Trans-Bright Green,D9E4A7,351
120,Light Lime,D9E4A7,120
35,Trans-Bright Green,D9E4A7,311
115,Medium Lime,C7D23C,115
326,Olive Green,9B9A5A,330
1142,Dark Olive Green,5d5c36,144
1076,Duplo Lime,FFF230,15
42,Trans-Neon Green,F8F184,49
1062,Vibrant Yellow,EBD800,368
226,Bright Light Yellow,FFF03A,226
334,Chrome Gold,BBA53D,310
1005,Trans-Fire Yellow,FBE890,234
54,Trans-Neon Yellow,DAB000,157
1100,Clikits Yellow,FFCF0B,190
46,Trans-Yellow,F5CD2F,44
1139,Opal Trans-Yellow,F5CD2F,376
14,Yellow,F2CD37,24
18,Light Yellow,FBE696,3
82,Metallic Gold,DBAC34,335
191,Bright Light Orange,F8BB3D,191
19,Tan,E4CD9E,5
28,Dark Tan,958A73,138
297,Pearl Gold,AA7F2E,297
142,Pearl Light Gold,DCBC81,127
462,Medium Orange,FFA70B,105
308,Dark Brown,352100,308
1066,Curry,DD982E,180
1091,Warm Yellowish Orange,FFCB78,225
1080,Light Tan,F3C988,224
1063,Pearl Copper,B46A00,346
366,Earth Orange,FA9C1C,12
1145,Ochre Yellow,DD9E47,424
125,Light Orange,F9BA61,121
1065,Reddish Gold,AC8247,189
68,Very Light Orange,F3CF9B,36
182,Trans-Orange,F08F1C,182
1052,Glitter Trans-Orange,F08F1C,341
1012,Fabuland Orange,EF9121,19
